CV_ID,Model,Relevant definition,Predicted ranking,Precision@1,Recall@1,MAP@1,NDCG@1,Precision@3,Recall@3,MAP@3,NDCG@3,Precision@5,Recall@5,MAP@5,NDCG@5,MRR
1,TF-IDF baseline,expert top1 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.3333,0.5,0.25,0.3869,0.4,1.0,0.5,0.6509,0.5
1,TF-IDF baseline,expert top3 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
1,Hybrid model,expert top1 union,"[5, 4, 3, 2, 1]",0.0,0.0,0.0,0.0,0.3333,0.5,0.25,0.3869,0.4,1.0,0.5,0.6509,0.5
1,Hybrid model,expert top3 union,"[5, 4, 3, 2, 1]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
2,TF-IDF baseline,expert top1 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.6667,1.0,0.5833,0.6934,0.4,1.0,0.5833,0.6934,0.5
2,TF-IDF baseline,expert top3 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
2,Hybrid model,expert top1 union,"[5, 4, 3, 1, 2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.325,0.5013,0.25
2,Hybrid model,expert top3 union,"[5, 4, 3, 1, 2]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
3,TF-IDF baseline,expert top1 union,"[5, 2, 4, 1, 3]",1.0,0.5,1.0,1.0,0.3333,0.5,0.5,0.6131,0.4,1.0,0.75,0.8772,1.0
3,TF-IDF baseline,expert top3 union,"[5, 2, 4, 1, 3]",1.0,0.2,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,Hybrid model,expert top1 union,"[5, 4, 1, 3, 2]",1.0,0.5,1.0,1.0,0.6667,1.0,0.8333,0.9197,0.4,1.0,0.8333,0.9197,1.0
3,Hybrid model,expert top3 union,"[5, 4, 1, 3, 2]",1.0,0.2,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,TF-IDF baseline,expert top1 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.3667,0.5438,0.3333
4,TF-IDF baseline,expert top3 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.6667,0.6667,0.3889,0.5307,0.6,1.0,0.5889,0.7123,0.5
4,Hybrid model,expert top1 union,"[5, 4, 3, 1, 2]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.4167,0.5706,0.3333
4,Hybrid model,expert top3 union,"[5, 4, 3, 1, 2]",0.0,0.0,0.0,0.0,0.3333,0.3333,0.1111,0.2346,0.6,1.0,0.4778,0.6183,0.3333
5,TF-IDF baseline,expert top1 union,"[5, 2, 3, 4, 1]",1.0,0.5,1.0,1.0,0.3333,0.5,0.5,0.6131,0.4,1.0,0.7,0.8503,1.0
5,TF-IDF baseline,expert top3 union,"[5, 2, 3, 4, 1]",1.0,0.25,1.0,1.0,0.6667,0.5,0.6667,0.7654,0.8,1.0,0.8875,0.9558,1.0
5,Hybrid model,expert top1 union,"[4, 5, 3, 1, 2]",0.0,0.0,0.0,0.0,0.3333,0.5,0.25,0.3869,0.4,1.0,0.5,0.6509,0.5
5,Hybrid model,expert top3 union,"[4, 5, 3, 1, 2]",1.0,0.25,1.0,1.0,0.6667,0.5,0.6667,0.7654,0.8,1.0,0.8875,0.9558,1.0
6,TF-IDF baseline,expert top1 union,"[5, 2, 1, 3, 4]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.4167,0.5706,0.3333
6,TF-IDF baseline,expert top3 union,"[5, 2, 1, 3, 4]",0.0,0.0,0.0,0.0,0.6667,0.6667,0.3889,0.5307,0.6,1.0,0.6389,0.7328,0.5
6,Hybrid model,expert top1 union,"[5, 4, 3, 1, 2]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.4167,0.5706,0.3333
